specialty,year,volume,providers,pop,tot_pop
1,2016,1,26370,85918970,281467807
1,2016,2,29409,85918970,281467807
1,2016,3,15260,85918970,281467807
1,2016,4,35666,85918970,281467807
1,2016,5,41990,85918970,281467807
2,2016,1,24006,85918970,281467807
2,2016,2,26057,85918970,281467807
2,2016,3,16768,85918970,281467807
2,2016,4,32670,85918970,281467807
2,2016,5,20050,85918970,281467807
3,2016,1,8916,85918970,281467807
3,2016,2,9947,85918970,281467807
3,2016,3,5814,85918970,281467807
3,2016,4,11129,85918970,281467807
3,2016,5,28906,85918970,281467807
4,2016,1,9802,85918970,281467807
4,2016,2,7470,85918970,281467807
4,2016,3,5337,85918970,281467807
4,2016,4,13313,85918970,281467807
4,2016,5,15919,85918970,281467807
5,2016,1,24908,85918970,281467807
5,2016,2,89116,85918970,281467807
5,2016,3,28421,85918970,281467807
5,2016,4,54883,85918970,281467807
5,2016,5,44538,85918970,281467807
6,2016,1,9374,85918970,281467807
6,2016,2,29914,85918970,281467807
6,2016,3,13679,85918970,281467807
6,2016,4,25797,85918970,281467807
6,2016,5,21195,85918970,281467807
1,2017,1,26627,67295403,238766910
1,2017,2,20541,67295403,238766910
1,2017,3,16661,67295403,238766910
1,2017,4,29258,67295403,238766910
1,2017,5,32633,67295403,238766910
2,2017,1,24432,67295403,238766910
2,2017,2,17775,67295403,238766910
2,2017,3,16364,67295403,238766910
2,2017,4,26593,67295403,238766910
2,2017,5,16067,67295403,238766910
3,2017,1,8776,67295403,238766910
3,2017,2,6753,67295403,238766910
3,2017,3,6309,67295403,238766910
3,2017,4,9674,67295403,238766910
3,2017,5,23167,67295403,238766910
4,2017,1,9767,67295403,238766910
4,2017,2,5032,67295403,238766910
4,2017,3,5670,67295403,238766910
4,2017,4,10707,67295403,238766910
4,2017,5,13106,67295403,238766910
5,2017,1,27115,67295403,238766910
5,2017,2,61841,67295403,238766910
5,2017,3,31950,67295403,238766910
5,2017,4,51847,67295403,238766910
5,2017,5,41482,67295403,238766910
6,2017,1,9757,67295403,238766910
6,2017,2,21309,67295403,238766910
6,2017,3,14885,67295403,238766910
6,2017,4,23897,67295403,238766910
6,2017,5,18096,67295403,238766910
1,2018,1,37441,90919616,300860747
1,2018,2,20448,90919616,300860747
1,2018,3,16720,90919616,300860747
1,2018,4,40373,90919616,300860747
1,2018,5,44199,90919616,300860747
2,2018,1,33512,90919616,300860747
2,2018,2,17121,90919616,300860747
2,2018,3,18675,90919616,300860747
2,2018,4,36354,90919616,300860747
2,2018,5,20559,90919616,300860747
3,2018,1,12358,90919616,300860747
3,2018,2,6421,90919616,300860747
3,2018,3,6163,90919616,300860747
3,2018,4,12813,90919616,300860747
3,2018,5,30817,90919616,300860747
4,2018,1,13592,90919616,300860747
4,2018,2,4900,90919616,300860747
4,2018,3,5233,90919616,300860747
4,2018,4,14368,90919616,300860747
4,2018,5,16593,90919616,300860747
5,2018,1,39068,90919616,300860747
5,2018,2,51493,90919616,300860747
5,2018,3,34459,90919616,300860747
5,2018,4,70411,90919616,300860747
5,2018,5,57836,90919616,300860747
6,2018,1,12597,90919616,300860747
6,2018,2,19153,90919616,300860747
6,2018,3,16294,90919616,300860747
6,2018,4,32202,90919616,300860747
6,2018,5,26037,90919616,300860747
1,2019,1,41462,89090881,300708176
1,2019,2,15562,89090881,300708176
1,2019,3,16477,89090881,300708176
1,2019,4,40517,89090881,300708176
1,2019,5,44033,89090881,300708176
2,2019,1,36499,89090881,300708176
2,2019,2,12629,89090881,300708176
2,2019,3,18423,89090881,300708176
2,2019,4,36538,89090881,300708176
2,2019,5,20476,89090881,300708176
3,2019,1,13782,89090881,300708176
3,2019,2,4548,89090881,300708176
3,2019,3,5967,89090881,300708176
3,2019,4,12847,89090881,300708176
3,2019,5,30816,89090881,300708176
4,2019,1,14797,89090881,300708176
4,2019,2,4164,89090881,300708176
4,2019,3,5048,89090881,300708176
4,2019,4,13557,89090881,300708176
4,2019,5,16712,89090881,300708176
5,2019,1,44822,89090881,300708176
5,2019,2,29380,89090881,300708176
5,2019,3,36302,89090881,300708176
5,2019,4,74988,89090881,300708176
5,2019,5,63931,89090881,300708176
6,2019,1,15314,89090881,300708176
6,2019,2,10947,89090881,300708176
6,2019,3,16790,89090881,300708176
6,2019,4,34281,89090881,300708176
6,2019,5,27331,89090881,300708176
1,2020,1,13200,81686217,271255614
1,2020,2,9123,81686217,271255614
1,2020,3,15823,81686217,271255614
1,2020,4,32394,81686217,271255614
1,2020,5,35505,81686217,271255614
2,2020,1,14772,81686217,271255614
2,2020,2,8859,81686217,271255614
2,2020,3,18254,81686217,271255614
2,2020,4,30413,81686217,271255614
2,2020,5,17346,81686217,271255614
3,2020,1,9153,81686217,271255614
3,2020,2,1322,81686217,271255614
3,2020,3,6845,81686217,271255614
3,2020,4,10615,81686217,271255614
3,2020,5,24066,81686217,271255614
4,2020,1,4947,81686217,271255614
4,2020,2,2973,81686217,271255614
4,2020,3,5268,81686217,271255614
4,2020,4,10791,81686217,271255614
4,2020,5,13465,81686217,271255614
5,2020,1,31931,81686217,271255614
5,2020,2,32055,81686217,271255614
5,2020,3,41807,81686217,271255614
5,2020,4,73606,81686217,271255614
5,2020,5,56648,81686217,271255614
6,2020,1,11624,81686217,271255614
6,2020,2,10840,81686217,271255614
6,2020,3,18960,81686217,271255614
6,2020,4,34415,81686217,271255614
6,2020,5,23636,81686217,271255614
