state,MedicaidExpansion,FeeRatio,ACO,APRNSOP,year,specialty,volume,providers,pop,tot_pop,fee_ratio_yr
AK,Yes,1.27,No,Full,2016,1,1,124,209599,742575,2016
AK,Yes,1.27,No,Full,2017,1,1,144,233635,740983,2016
AK,Yes,1.27,No,Full,2018,1,1,163,246500,736624,2016
AK,Yes,1.10,No,Full,2019,1,1,179,256708,733603,2019
AK,Yes,1.10,No,Full,2020,1,1,98,263871,732964,2019
AL,No,0.65,No,Reduced,2016,1,1,471,1505207,4866824,2016
AL,No,0.65,No,Reduced,2017,1,1,530,1583033,4877989,2016
AL,No,0.65,No,Reduced,2018,1,1,611,1780801,4891628,2016
AL,No,0.81,No,Reduced,2019,1,1,699,1852253,4907965,2019
AL,No,0.81,No,Reduced,2020,1,1,191,1529995,5031864,2019
AR,Yes,0.65,No,Reduced,2016,1,1,406,1672462,2991815,2016
AR,Yes,0.65,No,Reduced,2017,1,1,415,1583283,3003855,2016
AR,Yes,0.65,No,Reduced,2018,1,1,431,1152452,3012161,2016
AR,Yes,0.64,No,Reduced,2019,1,1,503,1122879,3020985,2019
AR,Yes,0.64,No,Reduced,2020,1,1,157,1103559,3014348,2019
AZ,Yes,0.73,No,Full,2016,1,1,756,2407707,6944767,2016
AZ,Yes,0.73,No,Full,2017,1,1,882,2350947,7048088,2016
AZ,Yes,0.73,No,Full,2018,1,1,1012,2324155,7164228,2016
AZ,Yes,0.73,No,Full,2019,1,1,1107,2284022,7291843,2019
AZ,Yes,0.73,No,Full,2020,1,1,364,2283555,7186683,2019
CA,Yes,0.41,No,Restricted,2016,1,1,2822,18300732,39149186,2016
CA,Yes,0.41,No,Restricted,2017,1,1,3433,17875957,39337785,2016
CA,Yes,0.41,No,Restricted,2018,1,1,3846,17250462,39437463,2016
CA,Yes,0.76,No,Restricted,2019,1,1,4327,16627454,39437610,2019
CA,Yes,0.76,No,Restricted,2020,1,1,1683,15954497,39503200,2019
CO,Yes,0.84,Yes,Full,2016,1,1,607,1656056,5543844,2016
CO,Yes,0.84,Yes,Full,2017,1,1,741,1700778,5617421,2016
CO,Yes,0.84,Yes,Full,2018,1,1,864,1666724,5697155,2016
CO,Yes,0.84,Yes,Full,2019,1,1,956,1617621,5758486,2019
CO,Yes,0.84,Yes,Full,2020,1,1,394,1589663,5785219,2019
CT,Yes,0.76,No,Full,2016,1,1,185,1064743,3579830,2016
CT,Yes,0.76,Yes,Full,2017,1,1,220,1085988,3575324,2016
CT,Yes,0.76,Yes,Full,2018,1,1,247,1097463,3574561,2016
CT,Yes,0.75,Yes,Full,2019,1,1,285,1118311,3566022,2019
CT,Yes,0.75,Yes,Full,2020,1,1,99,1140203,3577586,2019
DC,Yes,0.80,No,Full,2016,1,1,91,285237,687576,2016
DC,Yes,0.80,No,Full,2017,1,1,89,287004,697079,2016
DC,Yes,0.80,No,Full,2018,1,1,103,294527,704147,2016
DC,Yes,0.80,No,Full,2019,1,1,107,289217,708253,2019
DC,Yes,0.80,No,Full,2020,1,1,83,280580,670839,2019
DE,Yes,0.99,No,Reduced,2016,1,1,112,296076,949989,2016
DE,Yes,0.99,No,Reduced,2017,1,1,128,291768,957942,2016
DE,Yes,0.99,No,Reduced,2018,1,1,134,294456,966985,2016
DE,Yes,1.06,No,Reduced,2019,1,1,176,294927,976668,2019
DE,Yes,1.06,No,Reduced,2020,1,1,57,289146,991862,2019
FL,No,0.48,No,Restricted,2016,1,1,2856,5254557,20627237,2016
FL,No,0.48,No,Restricted,2017,1,1,3329,5324991,20977089,2016
FL,No,0.48,No,Restricted,2018,1,1,3794,5236957,21254926,2016
FL,No,0.49,No,Restricted,2019,1,1,4078,5056058,21492056,2019
FL,No,0.49,No,Restricted,2020,1,1,1249,5108892,21591299,2019
GA,No,0.65,No,Reduced,2016,1,1,1040,2497430,10308442,2016
GA,No,0.65,No,Reduced,2017,1,1,1172,2498779,10417031,2016
GA,No,0.65,No,Reduced,2018,1,1,1278,2588404,10519389,2016
GA,No,0.71,No,Reduced,2019,1,1,1371,2574286,10628020,2019
GA,No,0.71,No,Reduced,2020,1,1,441,2575267,10732390,2019
HI,Yes,0.54,No,Full,2016,1,1,142,424876,1428885,2016
HI,Yes,0.54,No,Full,2017,1,1,169,422351,1425763,2016
HI,Yes,0.54,No,Full,2018,1,1,184,418569,1423102,2016
HI,Yes,0.53,No,Full,2019,1,1,199,406200,1415615,2019
HI,Yes,0.53,No,Full,2020,1,1,130,426359,1451181,2019
IA,Yes,0.72,No,Full,2016,1,1,327,864429,3133210,2016
IA,Yes,0.72,Yes,Full,2017,1,1,405,819976,3143734,2016
IA,Yes,0.72,Yes,Full,2018,1,1,495,808880,3149900,2016
IA,Yes,0.71,Yes,Full,2019,1,1,575,821747,3159596,2019
IA,Yes,0.71,Yes,Full,2020,1,1,246,825042,3190904,2019
ID,No,1.00,No,Full,2016,1,1,216,372464,1684036,2016
ID,No,1.00,No,Full,2017,1,1,277,383293,1719745,2016
ID,No,1.00,No,Full,2018,1,1,307,366677,1752074,2016
ID,No,0.97,No,Full,2019,1,1,329,352603,1789060,2019
ID,No,0.97,No,Full,2020,1,1,98,433198,1849339,2019
IL,Yes,0.48,No,Reduced,2016,1,1,1277,3766510,12821709,2016
IL,Yes,0.48,No,Reduced,2017,1,1,1460,3682406,12779893,2016
IL,Yes,0.48,No,Reduced,2018,1,1,1644,3638429,12724685,2016
IL,Yes,0.44,No,Reduced,2019,1,1,1810,3484535,12667017,2019
IL,Yes,0.44,No,Reduced,2020,1,1,589,3551944,12790357,2019
IN,Yes,0.75,No,Reduced,2016,1,1,863,1860018,6637898,2016
IN,Yes,0.75,No,Reduced,2017,1,1,925,1821473,6662068,2016
IN,Yes,0.75,No,Reduced,2018,1,1,1135,1845994,6698481,2016
IN,Yes,0.74,No,Reduced,2019,1,1,1260,1814239,6731010,2019
IN,Yes,0.74,No,Reduced,2020,1,1,360,1897417,6789098,2019
KS,No,0.73,No,Reduced,2016,1,1,342,521063,2912977,2016
KS,No,0.73,No,Reduced,2017,1,1,407,521688,2910892,2016
KS,No,0.73,No,Reduced,2018,1,1,462,512845,2912748,2016
KS,No,0.61,No,Reduced,2019,1,1,494,505404,2912635,2019
KS,No,0.61,No,Reduced,2020,1,1,181,495756,2938124,2019
KY,Yes,0.67,No,Reduced,2016,1,1,625,1658526,4440306,2016
KY,Yes,0.67,No,Reduced,2017,1,1,698,1721068,4455590,2016
KY,Yes,0.67,No,Reduced,2018,1,1,786,1733994,4464273,2016
KY,Yes,0.65,No,Reduced,2019,1,1,850,1698903,4472345,2019
KY,Yes,0.65,No,Reduced,2020,1,1,198,1831145,4508155,2019
LA,Yes,0.67,No,Reduced,2016,1,1,408,1747372,4681346,2016
LA,Yes,0.67,No,Reduced,2017,1,1,459,1845146,4673673,2016
LA,Yes,0.67,No,Reduced,2018,1,1,528,1866378,4664450,2016
LA,Yes,0.66,Yes,Reduced,2019,1,1,581,1890541,4658285,2019
LA,Yes,0.66,Yes,Reduced,2020,1,1,104,1909703,4652022,2019
MA,Yes,0.70,No,Restricted,2016,1,1,293,2274834,6827280,2016
MA,Yes,0.70,Yes,Restricted,2017,1,1,311,2262665,6863560,2016
MA,Yes,0.70,Yes,Restricted,2018,1,1,362,2239597,6885720,2016
MA,Yes,0.71,Yes,Restricted,2019,1,1,412,2164830,6894883,2019
MA,Yes,0.71,Yes,Restricted,2020,1,1,182,2121193,6997713,2019
MD,Yes,0.92,No,Full,2016,1,1,370,1537880,6007014,2016
MD,Yes,0.92,No,Full,2017,1,1,423,1600561,6028186,2016
MD,Yes,0.92,No,Full,2018,1,1,482,1623821,6042153,2016
MD,Yes,0.94,No,Full,2019,1,1,528,1610432,6054954,2019
MD,Yes,0.94,No,Full,2020,1,1,229,1615863,6173689,2019
ME,No,0.60,Yes,Full,2016,1,1,241,331131,1332348,2016
ME,No,0.60,Yes,Full,2017,1,1,295,324346,1335743,2016
ME,No,0.60,Yes,Full,2018,1,1,333,325401,1340123,2016
ME,Yes,0.63,Yes,Full,2019,1,1,361,355035,1345770,2019
ME,Yes,0.63,Yes,Full,2020,1,1,157,401693,1364517,2019
MI,Yes,0.57,No,Restricted,2016,1,1,1129,3115241,9954117,2016
MI,Yes,0.57,No,Restricted,2017,1,1,1322,2943466,9976752,2016
MI,Yes,0.57,No,Restricted,2018,1,1,1538,2949579,9987286,2016
MI,Yes,0.62,No,Restricted,2019,1,1,1722,2946875,9984795,2019
MI,Yes,0.62,No,Restricted,2020,1,1,708,2939362,10070627,2019
MN,Yes,0.78,Yes,Full,2016,1,1,362,1432168,5525360,2016
MN,Yes,0.78,Yes,Full,2017,1,1,475,1423041,5569283,2016
MN,Yes,0.78,Yes,Full,2018,1,1,564,1430441,5608762,2016
MN,Yes,0.77,Yes,Full,2019,1,1,652,1382679,5640053,2019
MN,Yes,0.77,Yes,Full,2020,1,1,360,1339357,5710578,2019
MO,No,0.55,No,Restricted,2016,1,1,647,1236541,6091384,2016
MO,No,0.55,Yes,Restricted,2017,1,1,727,1266834,6111382,2016
MO,No,0.55,Yes,Restricted,2018,1,1,802,1248417,6125986,2016
MO,No,0.57,Yes,Restricted,2019,1,1,969,1194271,6140475,2019
MO,No,0.57,Yes,Restricted,2020,1,1,324,1156528,6154426,2019
MS,No,0.90,No,Reduced,2016,1,1,323,913763,2990595,2016
MS,No,0.90,No,Reduced,2017,1,1,367,899669,2990674,2016
MS,No,0.90,No,Reduced,2018,1,1,410,882112,2982879,2016
MS,No,0.94,No,Reduced,2019,1,1,459,855883,2978227,2019
MS,No,0.94,No,Reduced,2020,1,1,106,839633,2958409,2019
MT,Yes,1.06,No,Full,2016,1,1,144,284420,1042137,2016
MT,Yes,1.06,No,Full,2017,1,1,147,377642,1053862,2016
MT,Yes,1.06,No,Full,2018,1,1,156,358405,1061818,2016
MT,Yes,1.07,No,Full,2019,1,1,191,364980,1070123,2019
MT,Yes,1.07,No,Full,2020,1,1,92,313839,1087211,2019
NC,No,0.79,No,Restricted,2016,1,1,1183,2427006,10161802,2016
NC,No,0.79,No,Restricted,2017,1,1,1432,2522544,10275758,2016
NC,No,0.79,No,Restricted,2018,1,1,1606,2593760,10391358,2016
NC,No,0.78,No,Restricted,2019,1,1,1810,2619022,10501384,2019
NC,No,0.78,No,Restricted,2020,1,1,548,2639554,10453812,2019
ND,Yes,1.00,No,Full,2016,1,1,76,124851,756114,2016
ND,Yes,1.00,No,Full,2017,1,1,91,127350,756755,2016
ND,Yes,1.00,No,Full,2018,1,1,109,126384,760062,2016
ND,Yes,1.00,No,Full,2019,1,1,124,123648,763724,2019
ND,Yes,1.00,No,Full,2020,1,1,58,124652,779563,2019
NE,No,0.71,No,Full,2016,1,1,172,306913,1906483,2016
NE,No,0.71,No,Full,2017,1,1,228,310532,1916998,2016
NE,No,0.71,Yes,Full,2018,1,1,275,311820,1925512,2016
NE,No,0.90,Yes,Full,2019,1,1,311,310285,1932571,2019
NE,No,0.90,Yes,Full,2020,1,1,129,338732,1963273,2019
NH,Yes,0.56,No,Full,2016,1,1,126,260812,1343694,2016
NH,Yes,0.56,No,Full,2017,1,1,152,262401,1350395,2016
NH,Yes,0.56,No,Full,2018,1,1,161,253235,1355064,2016
NH,Yes,0.55,No,Full,2019,1,1,171,248297,1360783,2019
NH,Yes,0.55,No,Full,2020,1,1,85,255804,1378702,2019
NJ,Yes,0.42,Yes,Reduced,2016,1,1,712,2234620,8873584,2016
NJ,Yes,0.42,Yes,Reduced,2017,1,1,811,2397096,8888147,2016
NJ,Yes,0.42,Yes,Reduced,2018,1,1,925,2499188,8891730,2016
NJ,Yes,0.51,Yes,Reduced,2019,1,1,1007,2173020,8891258,2019
NJ,Yes,0.51,Yes,Reduced,2020,1,1,310,2123217,9272392,2019
NM,Yes,0.78,Yes,Full,2016,1,1,237,972600,2092555,2016
NM,Yes,0.78,No,Full,2017,1,1,264,1010722,2092844,2016
NM,Yes,0.78,No,Full,2018,1,1,348,978612,2093754,2016
NM,Yes,0.91,No,Full,2019,1,1,402,952107,2099634,2019
NM,Yes,0.91,No,Full,2020,1,1,149,954021,2118488,2019
NV,Yes,0.95,No,Full,2016,1,1,275,845956,2919555,2016
NV,Yes,0.95,Yes,Full,2017,1,1,320,869619,2972097,2016
NV,Yes,0.95,Yes,Full,2018,1,1,356,878210,3030725,2016
NV,Yes,0.95,No,Full,2019,1,1,393,867071,3090771,2019
NV,Yes,0.95,No,Full,2020,1,1,135,874474,3115840,2019
NY,Yes,0.44,No,Reduced,2016,1,1,1231,7998664,19636391,2016
NY,Yes,0.44,Yes,Reduced,2017,1,1,1427,8096541,19593849,2016
NY,Yes,0.44,Yes,Reduced,2018,1,1,1627,8177588,19544098,2016
NY,Yes,0.43,Yes,Reduced,2019,1,1,1787,8161520,19463131,2019
NY,Yes,0.43,Yes,Reduced,2020,1,1,660,7695683,20104710,2019
OH,Yes,0.59,No,Reduced,2016,1,1,1315,3650415,11640060,2016
OH,Yes,0.59,No,Reduced,2017,1,1,1439,3670592,11665706,2016
OH,Yes,0.59,No,Reduced,2018,1,1,1629,3460463,11680892,2016
OH,Yes,0.57,No,Reduced,2019,1,1,1760,3326097,11696507,2019
OH,Yes,0.57,No,Reduced,2020,1,1,531,3299762,11798292,2019
OK,No,0.87,No,Restricted,2016,1,1,701,1045848,3928143,2016
OK,No,0.87,No,Restricted,2017,1,1,865,1070420,3933602,2016
OK,No,0.87,No,Restricted,2018,1,1,942,1048122,3943488,2016
OK,No,0.94,No,Restricted,2019,1,1,1012,1035652,3960676,2019
